 ,Label,Area,Mean,StdDev,Min,Max,Perim.
25,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2326-3228,19.695,3.755,0.490,2.765,4.833,15.620
26,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2327-3213,38.569,3.625,0.633,2.158,5.444,22.556
27,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2532-4762,37.749,3.778,0.732,2.333,6.200,24.368
28,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3164-4103,44.314,4.203,0.760,2.294,7.200,25.960
29,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4033-3374,7.386,1.808,0.297,1.400,2.533,9.809
30,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4034-3377,1.641,1.660,0.047,1.609,1.714,5.435
31,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4043-5633,18.464,3.724,0.485,2.727,4.800,16.901
32,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4334-4461,16.002,3.228,0.491,2.412,4.333,15.620
33,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6248-2245,85.345,3.543,1.225,1.286,6.909,34.022
34,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6405-3854,36.518,2.190,0.734,0.677,3.842,23.307
35,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6593-3106,6.565,3.035,0.402,2.375,4.000,11.246
36,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6656-4322,46.365,2.349,0.457,1.130,3.545,25.649
37,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7282-5041,4.924,2.625,0.334,2.211,3.429,7.998
38,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7811-2475,70.574,5.265,1.265,3.167,9.000,31.304
39,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8006-5454,6.155,2.839,0.310,2.111,3.429,10.715
40,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8137-2536,8.617,3.479,0.617,2.467,4.556,9.809
41,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8327-2211,6.565,3.099,0.334,2.562,3.786,9.809
42,slice0002_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8341-5680,11.899,2.079,0.891,1.167,4.500,13.058
